title,description,date,link,content,top_word_1,top_word_1_count,top_word_2,top_word_2_count,top_word_3,top_word_3_count,top_word_4,top_word_4_count,top_word_5,top_word_5_count,top_word_6,top_word_6_count,top_word_7,top_word_7_count,top_word_8,top_word_8_count,top_word_9,top_word_9_count,top_word_10,top_word_10_count
"IN BRIEF: Putin talks to reporters about Oreshnik missile, natural gas transit","Russia could use Oreshnik again if need be, but the country is seeking to end the conflict in Ukraine, the Russian president said",2024-12-26 21:09:18,https://tass.com/politics/1894093,"Russia could use Oreshnik again if need be, but the country is seeking to end the conflict in Ukraine, the Russian president said IGORA /Leningrad Region/, December 26. /TASS/. Russia could use Oreshnik again if need be, but the country is seeking to end the conflict in Ukraine, Russian President Vladimir Putin told reporters. Russia is ready to continue to supply gas to Europe, according to the president, but Kiev announced that it will not renew the contract. By ending the transit, Ukraine is punishing Europe, although Kiev relies on its support to continue to fight, and even exist, he said. Below are Putin’s key statements that TASS put together. Russia has a few Oreshnik intermediary-range missile systems. There is not many of them. Russia is in no hurry to use them ""because they are powerful weapons that are designed to achieve certain goals."" If need be, ""we will use it, but we are not in a hurry."" Strikes on Russian territory will never go unanswered. ""We always respond in kind. Whenever they use certain weapons against us, we use similar weapons."" Russia is seeking to end the conflict in Ukraine. The number one objective for 2025 is to achieve the goals of the special military operation. Russia will make progress along the engagement line. ""I believe in God, and God is with us."" Back in 2021, US President Joe Biden suggested ""delaying Ukraine's admission to NATO for 10-15 years because it is not yet ready."" Peaceful settlement in Ukraine was the key issue of discussion during Slovak Prime Minister’s Robert Fico’s visit to Moscow. The prime minister expressed readiness to provide his country's territory as a venue for talks between Moscow and Kiev. ""If it comes to that, why not? Because Slovakia holds a neutral position from our point of view."" Russia has always called for depoliticization of economic issues and never hindered gas supplies to Europe. Russia still maintains a transit of at least 14 million cubic meters of gas through Ukraine and pays for it. ""Regardless of the war, our supplies were regular and we paid, and still pay, by the way, money for transit."" Russia is ready to supply gas through Ukraine under a contract with any counterparty, but this is impossible given the lawsuit from Kiev. By halting the transit of Russian gas to Europe, Ukraine is ""pecking"" the hand that feeds it. The Ukrainians are ""punishing Europe"" by closing the contract for the supply of Russian gas. Moscow is also ready to supply gas to Europe through Poland, using the existing Yamal-Europe route. ""All it needs is just pushing a button"". The most important thing in the coming year is ""the well-being of the Russian people, standard of living, stabilityю"" In terms of economy, the goals are to tame inflation and continue economic growth, which will be about 4% in 2024.",russia,10,ukraine,9,gas,7,europe,7,use,6,russian,6,president,4,ready,4,supply,4,kiev,4
Putin says he receives information about frontline situation round the clock,"There is always something new at certain sections of the front, the head of state emphasized",2024-12-26 20:17:49,https://tass.com/politics/1894079,"There is always something new at certain sections of the front, the head of state emphasized IGORA /Leningrad Region/, December 26. /TASS/. Russian President Vladimir Putin has told the media that he receives information about the frontline situation round the clock. ""Now I won't talk about details, about any specific sections of the frontline. But I keep an eye on it every day round the clock. Literally. There is always something new at certain sections. Say, our guys cross water obstacles. At some places they use technical means for this and at others they don't,"" he said. ""Now, we are standing here, you and me. It is warm in here and bright lights are on. It’s chilling and windy outside. Just imagine that this very minute our guys are wading a river. What's that like? They're walking through the water holding rifles above their heads. They are fighting for Russia,"" Putin remarked.",sections,3,always,2,something,2,new,2,certain,2,putin,2,frontline,2,round,2,clock,2,guys,2
"Russia’s economic growth will be almost 4% in 2024, Putin says","The Russian leader noted that the volume of trade between Moscow and Yerevan had doubled compared to 2023, and by the end of the current year it would amount to more than $ 10 billion",2024-12-26 20:13:39,https://tass.com/politics/1894077,"The Russian leader noted that the volume of trade between Moscow and Yerevan had doubled compared to 2023, and by the end of the current year it would amount to more than $ 10 billion IGORA /Leningrad region/, December 26. /TASS/. Russia's economic growth in 2024 will be about 4%, President Vladimir Putin told reporters. ""In the Eurozone, you know, they have a 1% [economic] growth, and in Belarus it is 5.4-5.5% based on the results of the year. In Russia, we are also generally happy with the results - 3.9%, most likely it will be under 4%, but in Belarus 5.5% is a good result,"" Putin noted, talking about the results of the joint work of the CIS and EAEU countries during the year. He added that the Armenian economy has grown even more, and the volume of trade between Moscow and Yerevan has doubled compared to 2023, and by the end of the current year it will amount to more than $ 10 billion. ""And this is the case with almost all countries [of the CIS and EAEU],"" the President noted. ""As for the work of the last two days, I can say briefly: we have become closer to each other,"" Putin said summing up the two-day meetings with the leaders of the Commonwealth and the Eurasian Economic Union.",year,4,noted,3,economic,3,putin,3,results,3,volume,2,trade,2,moscow,2,yerevan,2,doubled,2
Contract for gas transit to EU cannot be renewed before New Year — Putin,"According to the Russian President, an option of concluding contracts for delivery through third parties - Turkish, Hungarian, Slovak, Azerbaijani companies - is possible",2024-12-26 20:05:47,https://tass.com/politics/1894075,"According to the Russian President, an option of concluding contracts for delivery through third parties - Turkish, Hungarian, Slovak, Azerbaijani companies - is possible IGORA /Leningrad Region/, December 26. /TASS/. The contract for gas supplies to Europe via Ukraine is ending, and it will not be possible to renew it before the New Year - the time when it expires, Russian President Vladimir Putin said answering a question from TASS. ""There is no contract, and it is impossible to conclude it in 3-4 days, no way,"" the Russian leader said. According to the Russian President, an option of concluding contracts for delivery through third parties - Turkish, Hungarian, Slovak, Azerbaijani companies - is possible. ""The problem is that Gazprom has long-term contracts, until 2035, until 2049, and in order to change the situation with transit, these contracts need to be dissected. This is a complex procedure, difficult to resolve, insoluble,"" the Russian leader explained.",russian,5,contracts,4,president,3,possible,3,according,2,option,2,concluding,2,delivery,2,third,2,parties,2
Putin says Biden in 2021 proposed to postpone Ukraine's admission to NATO,The Russian leader recalled that the US President spoke about Ukraine's unreadiness to join the alliance,2024-12-26 20:04:52,https://tass.com/politics/1894073,"The Russian leader recalled that the US President spoke about Ukraine's unreadiness to join the alliance IGORA /Leningrad Region/, December 26. /TASS/. US President Joe Biden offered Russia’s leader Vladimir Putin back in 2021 to postpone Ukraine's admission to NATO by 10-15 years. ""I know that the incumbent president, Biden spoke about it, it's an open secret, back in 2021. He offered me exactly this - to postpone Ukraine's admission to NATO by 10-15 years, because it is not ready yet,"" Putin told the media, when asked about President-elect Donald Trump's future team speculating that the conflict might be frozen on the condition of postponing Ukraine's NATO membership by 10-20 years. During that conversation with Biden Putin ""reasonably responded that yes, Ukraine is not ready."" ""But you will prepare it and let it in. From the historical point of view - both in terms of distance and time - it’s a second. For us, it makes no difference - today, tomorrow or in 10-years’ time,"" Putin explained. He remarked that in this sense he was unfamiliar with statements by Trump’s future team on that score. ""But if that is really the case, what is the difference between the current administration and the proposals you just mentioned? No difference at all,"" Putin stated. ""I don't know how this situation will develop further, what instructions the president-elect will give to his colleagues. It remains to be seen."".",president,5,ukraine,5,putin,5,years,4,us,3,biden,3,nato,3,difference,3,leader,2,spoke,2
EU to impose new sanctions on ‘Russian shadow fleet’ over Baltic Sea incident,"In addition, the European Union is strengthening protection of the bloc's undersea cables",2024-12-26 19:52:58,https://tass.com/world/1894057,"In addition, the European Union is strengthening protection of the bloc's undersea cables BRUSSELS, December 26. /TASS/. The European Union intends to impose new sanctions on the so-called ""Russia’s shadow fleet"" over the incident in the Baltic Sea, according to a joint statement by the European Commission and EU diplomacy chief Kaja Kallas. ""The suspected vessel is part of Russia’s shadow fleet, which threatens security and the environment, while funding Russia’s war budget. We will propose further measures, including sanctions, to target this fleet,"" the statement said. In addition, the European Union is strengthening protection of the bloc's undersea cables after an incident in the Baltic Sea. ""In response to these incidents, we are strengthening efforts to protect undersea cables, including enhanced information exchange, new detection technologies, as well as in undersea repair capabilities, and international cooperation. We remain committed to ensuring the resilience and security of our critical infrastructure,"" the statement said. On December 25, the EstLink 2 energy cable, which runs along the bottom of the Gulf of Finland between Finland and Estonia, was cut in an emergency, the causes of the incident are being investigated. Later, Postimees newspaper reported that Estonian companies had reported damage to three cables between these countries.",european,4,undersea,4,cables,4,union,3,strengthening,3,russia,3,fleet,3,incident,3,statement,3,addition,2
Russia’s still paying for gas transit through Ukraine — Putin,"Pumping also continues through the Sudzha station, where military activities are ongoing",2024-12-26 19:51:07,https://tass.com/politics/1894067,"Pumping also continues through the Sudzha station, where military activities are ongoing IGORA /Leningrad region/, December 26. /TASS/. Russia is still maintaining the transit of at least 14 million cubic meters of gas through Ukraine paying for it, President Vladimir Putin said responding to a question from TASS. ""So, war is war - but we supplied regularly and paid, and still pay, money for transit, by the way,"" the head of state said. Putin noted that transit did not stop despite Kiev's armed provocations in the Kursk region. He recalled that Ukrainian specialists were working at the Sokhranovka checkpoint and no one offended them. Pumping also continues through the Sudzha station, where military activities are ongoing. ""We simply continue to supply 14 million [cubic meters] per day,"" the Russian leader said.",transit,3,said,3,pumping,2,continues,2,sudzha,2,station,2,military,2,activities,2,ongoing,2,region,2
"Oreshnik missile systems still few, but they are enough — Putin","According to the head of state, the system's serial production has begun",2024-12-26 19:49:01,https://tass.com/politics/1894063,"According to the head of state, the system's serial production has begun IGORA /Leningrad Region/, December 26. /TASS/. Russia has Oreshnik missile systems, but not many yet, President Vladimir Putin told reporters. ""It's not a secret and we don't hide it. I said: we still have a few of these Oreshnik systems. We have them and more than one system, but we are not in a hurry to use them, because this weapon is powerful, it is designed to solve certain tasks,"" Putin said. According to the head of state, serial production has begun. ""Now we will produce the proper amount and the amount we need. We will place something on the territory of Belarus. We are working systematically,"" Putin said.",putin,3,said,3,according,2,head,2,state,2,system,2,serial,2,production,2,begun,2,oreshnik,2
Russia to press for progress on line of engagement — Putin,The President stressed that Moscow would move on in accordance with the plans it had outlined,2024-12-26 19:48:18,https://tass.com/politics/1894059,"The President stressed that Moscow would move on in accordance with the plans it had outlined IGORA /Leningrad Region/, December 26. /TASS/. Russian President Vladimir Putin has said that Russia is determined to make progress on the line of engagement. ""We proceed from the assumption that we will achieve successes on the engagement line and we will achieve the solution of tasks in the economy, which is the base of everything, the solution of social issues, issues of military security, and security in the broadest sense. We will move on in accordance with the plans we have outlined,"" Putin said. He added that he had enough reasons to believe that this would be the case.",president,2,move,2,accordance,2,plans,2,outlined,2,putin,2,said,2,line,2,engagement,2,achieve,2
US disrupts payment of Russian contribution to ICRC budget — Foreign Ministry,"This is another example of a harmful impact of unlawful restrictive measures, the ministry said",2024-12-26 17:46:17,https://tass.com/politics/1893923,"This is another example of a harmful impact of unlawful restrictive measures, the ministry said MOSCOW, December 26. /TASS/. The United States has disrupted the transfer of Russia's voluntary contribution to the budget of the International Committee of the Red Cross (ICRC) by imposing illegal unilateral sanctions, the Russian Foreign Ministry said in a statement. ""As a result of the unilateral coercive measures against Gazprombank imposed by the US Treasury Department in November, Russia has faced obstacles in making payments to the budgets of a number of international organizations,"" the ministry pointed out. ""Another example of how such unlawful restrictive measures harm not only and not so much our country was the disruption of the transfer of funds from Russia's voluntary contribution to the budget of the International Committee of the Red Cross,"" the statement said. The ministry recalled that Russia has been participating in the financing of key programs of the International Committee of the Red Cross for many years. ""Our country has repeatedly made one-time contributions to the committee's budget, including for humanitarian aid to the needy population of Syria, Nagorno-Karabakh and Donbass, as well as for the fight against the coronavirus pandemic,"" it noted. The ministry also noted that, in accordance with the Russian government's order, voluntary payments to the ICRC's budget have been made on an annual basis since 2018. ""For the first time, such payments were interrupted in 2022 as a result of illegal coercive measures taken by the European Union and Switzerland against Russia. By joining the 'sanctions war' against Russia, Bern continued the line of deviation from neutrality,"" it added. ""Such a policy ultimately harms a number of institutions of international humanitarian cooperation, first of all the activities of the International Committee of the Red Cross,"" the Russian diplomats stressed. ""In both cases, in 2022 and now, Russian funds should have been used to meet the needs of the Syrian population. The Russian side notes the multifaceted efforts of the ICRC to provide urgent assistance to those in need, restore civilian infrastructure and ensure access to drinking water for the population of the Syrian Arab Republic. Work in these areas has been severely hampered for many years by sanctions pressure on Damascus from Washington and its allies. Further sanctions, now against Russia's Gazprombank, will only aggravate this situation,"" the Russian Foreign Ministry concluded.",russia,7,ministry,6,international,6,russian,6,committee,5,measures,4,budget,4,red,4,cross,4,sanctions,4
